x,y,z
1994.02124,3080.881592,357.0954895
1984.003662,3080.841797,357.1573181
1973.985962,3080.822754,357.2310791
1963.968262,3080.82373,357.3136902
1953.968262,3080.834961,357.399231
1943.968262,3080.846191,357.4949951
1933.968262,3080.857178,357.6014709
1923.968262,3080.868408,357.7186584
1913.968262,3080.879639,357.8446655
1903.968262,3080.890869,357.9727478
1893.968262,3080.9021,358.1061401
1883.968262,3080.91333,358.2452393
1873.968262,3080.924561,358.3900146
1863.968262,3080.935547,358.537384
1853.968262,3080.946777,358.6872559
1843.968262,3080.958008,358.848114
1833.968262,3080.969238,359.0206909
1823.968262,3080.980469,359.2049561
1813.968262,3080.991699,359.3946533
1803.968262,3081.002686,359.5862427
1793.968262,3081.013916,359.7817078
1783.968262,3081.025146,359.9810181
1773.968262,3081.036377,360.1842041
1763.968384,3081.047607,360.3892517
1753.968384,3081.058838,360.5906372
1743.968384,3081.070068,360.7861938
1733.968384,3081.081055,360.9758606
1723.968384,3081.092285,361.1598206
1713.968384,3081.103516,361.3410339
1703.968384,3081.114746,361.5203857
1693.968384,3081.125977,361.6979065
1683.968384,3081.137207,361.8735657
1673.968384,3081.148193,362.0473938
1663.968506,3081.159424,362.2195129
1653.968506,3081.170654,362.3895874
1643.968506,3081.181885,362.5558167
1633.968506,3081.193115,362.7182007
1623.968506,3081.204346,362.8773499
1613.968506,3081.215332,363.0361328
1603.968506,3081.226563,363.1902466
1593.968506,3081.237793,363.3340149
1583.968506,3081.249023,363.4674988
1573.968506,3081.260254,363.5942993
1563.968506,3081.271484,363.7199402
1553.968506,3081.282715,363.8349304
1543.968506,3081.293701,363.9370728
1533.968506,3081.304932,364.0263062
1523.968506,3081.316162,364.1044922
1513.968506,3081.327393,364.1813354
1503.968506,3081.338623,364.2541504
1493.968506,3081.349854,364.3193054
1483.968506,3081.36084,364.3768311
1473.968506,3081.37207,364.4267273
1463.968506,3081.383301,364.4717102
1453.968506,3081.394531,364.499176
1443.968506,3081.405762,364.4752197
1433.968506,3081.416992,364.3989868
1423.968506,3081.428223,364.2720032
1413.968506,3081.439209,364.1286621
1403.968506,3081.450439,363.977356
1393.968628,3081.46167,363.8170471
1383.968628,3081.4729,363.6477661
1373.968628,3081.484131,363.4694824
1363.968628,3081.495361,363.2982483
1353.968628,3081.506348,363.2254944
1343.968628,3081.517578,363.2690735
1333.968628,3081.528809,363.4289856
1323.968628,3081.540039,363.6663513
1313.968628,3081.55127,363.9056396
1303.968628,3081.5625,364.1515808
1293.968628,3081.573486,364.4220886
1283.968628,3081.584717,364.7102051
1273.968628,3081.595947,364.9988708
1263.968628,3081.607178,365.2705078
1253.968628,3081.618408,365.4719238
1243.968628,3081.629639,365.5992432
1233.96875,3081.640869,365.6540833
1223.96875,3081.651855,365.6856384
1213.96875,3081.663086,365.7167664
1203.96875,3081.674316,365.7218933
1193.96875,3081.685547,365.6867065
1183.96875,3081.696777,365.6111145
1173.96875,3081.708008,365.5136108
1163.96875,3081.718994,365.4160767
